ID,Nome,Data de Nascimento,Nacionalidade,Matriculas,ECTS,Ano do Curso,Media Atual
1527,Lavinia Barbosa,18-08-2003,Mocambicana,2,30,2,13.90
1951,Maria Alice Barbosa,22-01-1996,Portuguesa,5,34,1,12.20
3137,Danilo Barbosa,28-12-1997,Portuguesa,5,34,3,18.80
3111,Ana Barbosa,11-10-2001,Portuguesa,6,79,3,17.20
1283,Emanuella Barbosa,07-04-1994,Portuguesa,5,34,2,18.50
2614,Mariane Barbosa,29-01-2004,Portuguesa,3,125,3,16.10
1581,Anthony Barbosa,21-01-1998,Portuguesa,2,30,3,19.20
1248,Julia Barbosa,26-09-1992,Guineense,4,139,3,11.90
2206,Nathan Barbosa,15-02-1994,Portuguesa,3,125,3,17.90
1907,Gabriel Barbosa,18-05-1997,Portuguesa,2,30,2,14.60
2234,Felipe Barbosa,15-06-1999,Espanhola,5,34,2,11.40
2778,Matheus Barbosa,09-10-2004,Brasileira,1,10,3,14.30
1819,Gustavo Henrique Barbosa,23-03-1999,Espanhola,5,34,3,14.20
1260,Bernardo Barbosa,27-12-1991,Guineense,4,139,2,14.30
2239,Lara Barbosa,26-01-2004,Brasileira,1,10,2,17.50
3209,Joao Barbosa,13-12-1999,Francesa,1,10,1,14.20
3234,Goncalo Barriga,06-09-1979,Portuguesa,0,0,0,0.00
1952,Samuel Barros,04-08-2003,Guineense,4,139,1,13.80
3139,Joao Barros,22-09-1995,Portuguesa,4,139,1,14.20
1801,Thomas Barros,03-11-1994,Guineense,6,79,1,15.60
2356,Maria Fernanda Barros,05-12-2001,Espanhola,5,34,3,15.30
3136,Sarah Barros,02-06-1997,Portuguesa,1,10,1,18.90
2034,Luiz Felipe Barros,20-11-1992,Portuguesa,1,10,3,19.00
2065,Joao Guilherme Barros,18-03-1997,Espanhola,4,139,2,12.00
3147,Barbara Barros,19-11-1998,Portuguesa,6,79,1,19.30
2588,Igor Barros,30-09-1999,Portuguesa,4,139,3,15.50
2752,Nicolas Barros,22-01-2003,Angolana,3,125,3,16.00
2857,Rafael Barros,19-01-1993,Portuguesa,1,10,3,14.40
2178,Fernanda Barros,18-01-1997,Portuguesa,4,139,1,18.20
2031,Lucas Barros,17-02-1998,Portuguesa,6,79,1,14.90
2266,Nathan Barros,03-01-1994,Portuguesa,4,139,1,16.80
1686,Samuel Barros,14-05-1997,Portuguesa,2,30,1,15.10
1500,Marina Barros,29-06-2002,Portuguesa,4,139,3,18.00
2704,Kamilly Barros,12-03-1996,Portuguesa,3,125,3,11.70
1317,Emanuel Barros,01-02-1994,Portuguesa,5,34,2,11.90
2960,Joao Felipe Barros,18-12-1996,Portuguesa,6,79,2,19.80
2502,Alicia Barros,20-11-1995,Portuguesa,4,139,3,14.80
1488,Beatriz Barros,18-12-1991,Espanhola,1,10,1,16.00
2175,Vitor Barros,26-11-2004,Portuguesa,1,10,1,13.60
3192,Murilo Barros,19-03-2000,Mocambicana,4,139,3,13.50
2331,Gabriel Barros,24-03-1997,Portuguesa,5,34,3,14.20
2645,Raul Barros,21-09-1995,Portuguesa,6,79,2,17.80
2368,Ana Vitoria Barros,25-07-2003,Francesa,5,34,1,12.30
2107,Rodrigo Barros,26-04-1997,Portuguesa,1,10,2,16.50
2482,Thomas Barros,28-03-1999,Portuguesa,4,139,2,13.90
1969,Davi Lucca Barros,05-12-2000,Mocambicana,6,79,2,14.00
2470,Gabriel Barros,06-12-1996,Portuguesa,1,10,3,16.60
2340,Gustavo Henrique Barros,15-08-1995,Portuguesa,5,34,3,18.10
1920,Ana Beatriz Barros,10-08-2002,Italiana,2,30,2,19.80
2425,Vicente Barros,22-02-1992,Italiana,6,79,2,13.80
1619,Enrico Barros,08-03-2000,Portuguesa,3,125,1,17.80
1610,Amanda Barros,18-12-1994,Portuguesa,5,34,2,14.70
1234,Erick Barros,19-07-1990,Portuguesa,4,139,1,13.40
1246,Ana Julia Caldeira,03-02-1990,Francesa,1,10,1,19.20
2396,Fernando Caldeira,17-04-2001,Portuguesa,2,30,1,12.20
2264,Eduarda Caldeira,26-01-2003,Portuguesa,5,34,1,18.90
3047,Catarina Caldeira,05-08-1996,Francesa,1,10,2,18.60
1539,Vinicius Caldeira,23-09-2001,Portuguesa,1,10,3,17.10
2288,Paulo Caldeira,19-09-1992,Portuguesa,5,34,1,17.10
1923,Lucca Caldeira,05-05-1997,Brasileira,6,79,1,13.00
1850,Caua Caldeira,04-02-1991,Portuguesa,2,30,2,11.90
1463,Maria Eduarda Caldeira,19-02-2001,Portuguesa,4,139,2,13.10
1845,Danilo Caldeira,20-04-1990,Portuguesa,5,34,1,13.20
2021,Antonio Caldeira,08-11-2000,Portuguesa,4,139,3,14.20
2140,Bruna Caldeira,09-09-1993,Portuguesa,4,139,3,15.70
1909,Pedro Caldeira,27-01-2002,Mocambicana,1,10,2,12.80
1420,Raquel Caldeira,22-12-1994,Italiana,4,139,3,12.50
1473,Rafael Caldeira,21-08-1990,Guineense,5,34,3,16.10
2009,Augusto Caldeira,30-10-1991,Angolana,1,10,3,16.00
2427,Thomas Caldeira,26-11-1996,Portuguesa,6,79,2,13.70
2882,Lavinia Caldeira,18-10-1994,Portuguesa,6,79,3,19.60
2429,Vitor Caldeira,03-03-1995,Portuguesa,2,30,3,17.60
1578,Diego Caldeira,22-06-2001,Portuguesa,1,10,3,15.60
2626,Melissa Caldeira,02-06-1992,Brasileira,6,79,3,13.20
2339,Pedro Lucas Caldeira,29-10-1997,Portuguesa,3,125,2,11.30
1568,Levi Caldeira,03-11-1992,Italiana,4,139,3,14.50
1338,Maria Alice Caldeira,23-10-2000,Portuguesa,6,79,1,19.70
2295,Luana Caldeira,30-09-2001,Portuguesa,6,79,2,16.70
2581,Davi Caldeira,10-05-2001,Portuguesa,2,30,3,16.70
1939,Gabrielly Campos,20-05-1994,Portuguesa,1,10,3,13.50
1662,Fernando Campos,19-05-2003,Portuguesa,1,10,1,12.50
2852,Mariane Campos,20-07-1997,Portuguesa,6,79,3,19.00
1888,Brenda Campos,26-08-2002,Portuguesa,3,125,1,11.90
2972,Lais Campos,10-12-1995,Brasileira,3,125,2,19.60
2141,Marcelo Campos,24-12-1998,Portuguesa,4,139,2,16.10
2984,Julia Campos,14-07-1997,Portuguesa,2,30,2,18.80
1555,Lara Campos,23-10-2004,Timorense,3,125,2,13.00
1906,Clarice Campos,03-03-2003,Portuguesa,4,139,3,15.40
2605,Alicia Campos,20-12-1990,Brasileira,3,125,1,12.10
2590,Pietro Campos,03-08-1990,Portuguesa,6,79,2,17.40
2360,Luiz Gustavo Campos,18-02-2000,Portuguesa,4,139,1,14.20
1815,Joana Campos,09-07-1999,Brasileira,1,10,3,13.10
2200,Evelyn Campos,06-09-1999,Portuguesa,6,79,3,13.80
2837,Laura Campos,14-12-1990,Portuguesa,2,30,2,16.70
2709,Pedro Lucas Campos,13-11-1992,Portuguesa,2,30,1,13.60
2784,Caue Campos,25-08-2003,Portuguesa,1,10,1,16.40
1719,Joao Miguel Campos,18-11-1997,Portuguesa,4,139,3,19.40
3089,Alana Campos,19-05-2000,Portuguesa,1,10,3,19.20
2957,Ryan Campos,08-07-1994,Portuguesa,5,34,3,19.50
1529,Rodrigo Campos,26-08-2000,Portuguesa,2,30,1,13.40
2565,Alana Campos,08-07-1997,Brasileira,2,30,3,15.40
2323,Ana Sophia Campos,12-12-1999,Portuguesa,6,79,3,14.80
2005,Thales Campos,21-12-2004,Portuguesa,2,30,2,13.20
2114,Carlos Eduardo Cardoso,17-02-1994,Portuguesa,2,30,3,11.50
2007,Bianca Cardoso,04-08-1992,Portuguesa,4,139,2,15.50
1798,Leonardo Cardoso,13-04-1992,Brasileira,4,139,1,18.50
1374,Ana Vitoria Cardoso,22-10-1991,Portuguesa,3,125,3,15.40
2587,Luigi Cardoso,15-01-1994,Portuguesa,2,30,1,19.00
1330,Sarah Cardoso,27-10-1999,Portuguesa,6,79,2,13.90
1448,Diogo Cardoso,28-11-1997,Portuguesa,2,30,3,16.10
2832,Luiz Miguel Cardoso,09-06-1990,Portuguesa,1,10,3,11.70
1627,Eduarda Cardoso,20-02-1994,Francesa,2,30,2,15.30
2057,Maria Alice Cardoso,19-11-2002,Mocambicana,2,30,3,19.70
1927,Gabriel Cardoso,18-03-1996,Angolana,6,79,1,17.50
2777,Pedro Miguel Cardoso,17-06-2002,Portuguesa,4,139,1,12.90
2989,Emilly Cardoso,13-01-2002,Brasileira,6,79,1,11.40
3200,Maysa Cardoso,04-02-1991,Portuguesa,4,139,1,19.90
1584,Murilo Cardoso,15-01-1990,Portuguesa,3,125,3,12.90
2988,Juliana Cardoso,25-08-2001,Portuguesa,4,139,1,13.80
1783,Joao Lucas Cardoso,20-09-1998,Mocambicana,1,10,2,16.40
2767,Nicolas Cardoso,16-01-1990,Brasileira,2,30,1,13.50
2420,Clarice Cardoso,24-07-1997,Portuguesa,2,30,2,11.70
2283,Diego Cardoso,09-09-1997,Portuguesa,1,10,3,13.80
2847,Gustavo Cardoso,14-07-1992,Espanhola,2,30,3,17.80
3175,Luiz Gustavo Cardoso,13-03-2003,Portuguesa,6,79,3,15.20
2848,Henrique Cardoso,10-11-1993,Portuguesa,4,139,2,16.50
1645,Enrico Cardoso,09-09-1990,Portuguesa,3,125,1,15.20
2281,Joao Vitor Cardoso,08-12-1993,Portuguesa,4,139,2,19.30
3227,Caue Cardoso,11-11-1992,Brasileira,3,125,3,16.50
3107,Eduarda Cardoso,03-09-1996,Portuguesa,1,10,2,18.20
1484,Alana Cardoso,19-02-1997,Portuguesa,2,30,2,16.40
2149,Leticia Cardoso,04-12-1998,Portuguesa,4,139,3,16.70
2859,Joao Lucas Cardoso,17-06-1996,Portuguesa,2,30,3,15.60
2627,Gabriela Cardoso,12-12-2003,Portuguesa,6,79,3,15.90
2278,Lucas Cardoso,04-03-1993,Francesa,3,125,3,16.10
1748,Ana Clara Cardoso,14-04-2000,Portuguesa,6,79,2,19.70
3214,Caroline Cardoso,08-07-1990,Portuguesa,1,10,2,11.10
2739,Barbara Cardoso,30-07-1999,Brasileira,1,10,3,18.30
1679,Vitor Cardoso,27-10-1994,Portuguesa,4,139,2,12.10
2696,Maria Cecilia Cardoso,29-06-1994,Portuguesa,6,79,1,15.40
1729,Lais Cardoso,06-12-1998,Guineense,4,139,3,16.20
1681,Luna Cardoso,30-04-1999,Portuguesa,4,139,1,13.10
2456,Rebeca Cardoso,02-05-1992,Portuguesa,6,79,1,20.00
1247,Caua Cardoso,21-08-1997,Portuguesa,2,30,1,16.10
2248,Barbara Cardoso,23-08-2002,Portuguesa,3,125,1,11.00
1876,Levi Cardoso,27-01-1999,Portuguesa,3,125,2,14.30
2501,Eduardo Cardoso,29-07-1992,Portuguesa,1,10,3,13.80
2673,Rebeca Cardoso,29-09-1990,Portuguesa,4,139,1,11.60
1703,Isaac Cardoso,15-11-2000,Portuguesa,6,79,3,16.80
1874,Nathan Cardoso,25-04-1995,Portuguesa,2,30,3,19.80
1278,Lorena Cardoso,12-11-2001,Portuguesa,6,79,2,19.70
2954,Davi Lucca Cardoso,02-09-1994,Portuguesa,6,79,1,19.10
2301,Ana Laura Cardoso,13-08-1994,Portuguesa,4,139,1,13.60
1711,Maria Eduarda Cardoso,05-12-1997,Portuguesa,3,125,2,19.30
2201,Luiz Fernando Cardoso,07-12-2003,Portuguesa,3,125,3,18.20
1513,Yuri Cardoso,06-08-2000,Portuguesa,4,139,2,18.80
2851,Vitoria Carvalho,11-09-2002,Portuguesa,2,30,1,19.50
1707,Sarah Carvalho,09-11-1994,Portuguesa,1,10,3,14.70
2843,Enrico Carvalho,06-10-2002,Espanhola,3,125,2,19.50
2996,Isabella Carvalho,08-02-1993,Portuguesa,5,34,2,12.50
2510,Olivia Carvalho,14-05-2000,Timorense,1,10,3,18.10
3168,Clara Carvalho,08-04-1995,Timorense,4,139,2,19.50
1508,Lais Carvalho,14-03-1990,Portuguesa,1,10,1,16.80
3220,Gabriel Carvalho,14-03-1991,Brasileira,1,10,2,11.70
2816,Kamilly Carvalho,18-06-1998,Timorense,6,79,2,18.40
2808,Isabella Carvalho,08-09-1995,Portuguesa,3,125,2,19.00
2807,Isadora Carvalho,28-04-1992,Brasileira,2,30,1,19.30
2252,Lucas Gabriel Carvalho,30-10-1999,Brasileira,4,139,1,16.70
2401,Nina Carvalho,27-01-2003,Portuguesa,5,34,2,11.50
2029,Lorenzo Carvalho,08-12-1992,Espanhola,4,139,1,16.50
2116,Marcela Carvalho,15-10-2003,Portuguesa,2,30,2,13.20
1451,Emanuelly Carvalho,11-11-2003,Portuguesa,5,34,1,17.00
1309,Marcela Carvalho,23-08-1998,Portuguesa,2,30,3,16.50
2728,Samuel Carvalho,27-10-1997,Portuguesa,3,125,2,14.10
2079,Maria Sophia Carvalho,23-08-2004,Portuguesa,2,30,1,16.10
1878,Davi Luiz Carvalho,11-04-2002,Brasileira,2,30,3,14.00
2487,Thales Carvalho,29-11-1993,Brasileira,3,125,3,16.30
3169,Bernardo Carvalho,19-12-2003,Portuguesa,4,139,1,17.90
1937,Pedro Lucas Carvalho,02-02-2002,Portuguesa,3,125,3,12.10
1930,Clara Carvalho,30-09-2001,Francesa,4,139,1,16.90
1435,Lucca Carvalho,02-11-1995,Mocambicana,2,30,2,17.70
1858,Camila Carvalho,15-07-1992,Portuguesa,1,10,3,14.50
2754,Luigi Carvalho,28-03-1993,Portuguesa,2,30,2,13.00
1761,Paulo Carvalho,24-03-2004,Portuguesa,2,30,2,14.40
2595,Paulo Carvalho,17-03-1990,Portuguesa,6,79,3,16.30
2611,Erick Carvalho,28-05-1993,Portuguesa,1,10,3,19.60
2904,Pietra Carvalho,19-11-1997,Portuguesa,6,79,3,12.50
1251,Marcelo Carvalho,02-07-1999,Portuguesa,2,30,2,17.20
2622,Erick Castro,11-03-1998,Mocambicana,6,79,1,17.80
1274,Davi Lucas Castro,22-06-1994,Portuguesa,2,30,1,17.70
3207,Sofia Castro,26-05-2002,Portuguesa,2,30,3,19.80
1365,Juliana Castro,18-04-2003,Portuguesa,1,10,3,18.50
2921,Henrique Castro,09-09-1995,Portuguesa,1,10,3,13.50
2371,Eloah Castro,26-07-1999,Portuguesa,2,30,2,12.10
2334,Marcos Vinicius Castro,11-10-2001,Portuguesa,5,34,2,15.70
2486,Davi Lucas Castro,22-02-1994,Portuguesa,3,125,1,13.20
3101,Ian Castro,23-03-2000,Portuguesa,2,30,1,18.70
2081,Ana Clara Castro,13-08-1997,Portuguesa,1,10,1,16.50
2399,Yasmin Castro,28-04-1994,Portuguesa,6,79,1,13.00
2082,Renan Castro,10-09-1995,Guineense,5,34,3,17.00
2967,Thomas Castro,15-04-1996,Portuguesa,2,30,3,19.40
2253,Sabrina Castro,25-05-2002,Italiana,5,34,1,15.00
2712,Joao Felipe Castro,25-06-2001,Francesa,5,34,3,19.30
2109,Vitoria Castro,20-09-2001,Portuguesa,2,30,1,17.00
1869,Daniela Castro,22-10-1993,Portuguesa,5,34,1,14.30
2182,Stephany Castro,22-01-2000,Timorense,5,34,2,11.60
2543,Raul Castro,13-02-2001,Portuguesa,6,79,3,17.90
2827,Sofia Castro,02-01-1991,Portuguesa,1,10,3,18.30
2290,Ana Sophia Castro,23-09-1996,Portuguesa,3,125,2,17.30
1871,Marina Castro,04-06-1998,Portuguesa,2,30,3,16.80
1279,Luiz Otavio Castro,19-09-2002,Portuguesa,1,10,1,11.20
2702,Bernardo Castro,30-11-2003,Espanhola,3,125,2,15.30
2865,Sophia Castro,30-09-2004,Portuguesa,1,10,2,11.20
2415,Valentina Castro,05-09-1993,Portuguesa,3,125,2,11.10
2601,Rafaela Castro,08-04-2002,Portuguesa,2,30,1,11.40
2088,Antonio Castro,21-04-2002,Portuguesa,1,10,2,12.70
2528,Joaquim Castro,27-07-1995,Portuguesa,2,30,2,18.70
2861,Gabriel Castro,13-03-2002,Portuguesa,4,139,2,14.10
3148,Ana Beatriz Castro,12-09-1995,Portuguesa,2,30,2,15.90
1868,Nathan Cavalcanti,20-03-1993,Portuguesa,6,79,3,18.30
2503,Alexia Cavalcanti,15-03-1996,Portuguesa,3,125,3,13.20
2488,Joaquim Cavalcanti,22-10-1990,Portuguesa,1,10,2,12.10
1734,Gabriela Cavalcanti,10-04-1993,Portuguesa,1,10,1,12.70
2455,Daniela Cavalcanti,18-12-2000,Portuguesa,1,10,2,15.20
2326,Gustavo Cavalcanti,25-08-2000,Brasileira,1,10,3,14.70
1611,Emanuel Cavalcanti,03-08-1998,Guineense,3,125,1,13.30
2390,Vitoria Cavalcanti,05-02-1990,Portuguesa,1,10,3,11.90
3135,Davi Lucca Cavalcanti,14-11-1997,Espanhola,3,125,2,15.90
1989,Heitor Cavalcanti,15-04-1996,Portuguesa,5,34,1,14.80
1583,Arthur Cavalcanti,06-10-1997,Portuguesa,1,10,2,13.90
2143,Anthony Cavalcanti,24-02-1996,Portuguesa,1,10,2,18.90
2381,Luiza Cavalcanti,10-02-1996,Brasileira,2,30,1,13.70
1586,Pietro Cavalcanti,22-03-1997,Portuguesa,3,125,1,15.20
2484,Alicia Cavalcanti,18-12-1994,Francesa,1,10,1,13.40
1812,Stephany Cavalcanti,21-11-1995,Portuguesa,2,30,3,18.30
2091,Clara Cavalcanti,26-09-2003,Portuguesa,2,30,1,17.10
3000,Julia Cavalcanti,13-05-1999,Portuguesa,5,34,1,12.90
2950,Isadora Cavalcanti,19-10-1995,Portuguesa,3,125,2,19.20
3202,Renan Cavalcanti,27-08-1998,Portuguesa,1,10,1,18.50
2019,Luiz Henrique Cavalcanti,10-09-1992,Espanhola,2,30,2,18.40
2243,Juliana Cavalcanti,28-02-1991,Portuguesa,3,125,3,18.80
1742,Vitoria da Conceicao,26-06-1996,Brasileira,4,139,1,14.60
1593,Rodrigo da Conceicao,16-07-1999,Portuguesa,6,79,1,14.50
2640,Davi Luiz da Conceicao,20-02-2000,Italiana,6,79,2,15.40
1441,Laura da Conceicao,28-06-2003,Brasileira,1,10,3,14.50
2683,Caua da Conceicao,13-05-1993,Portuguesa,1,10,2,15.50
2715,Davi Lucca da Conceicao,17-10-2004,Portuguesa,4,139,1,15.60
2169,Igor da Conceicao,22-03-1992,Portuguesa,6,79,1,13.70
1690,Lorenzo da Conceicao,26-03-1991,Portuguesa,3,125,1,12.90
2933,Thales da Conceicao,05-12-1993,Portuguesa,2,30,3,16.10
2535,Matheus da Conceicao,14-01-1996,Portuguesa,4,139,2,19.20
3178,Manuela da Conceicao,04-05-1995,Mocambicana,1,10,2,14.10
2095,Vitoria da Conceicao,27-06-2001,Angolana,2,30,1,15.20
1477,Isis da Conceicao,02-06-1998,Portuguesa,2,30,3,19.20
2554,Raul da Conceicao,21-03-1990,Portuguesa,5,34,3,16.00
1706,Luiz Felipe da Conceicao,15-08-1996,Portuguesa,2,30,2,18.80
1643,Natalia da Conceicao,02-03-2003,Portuguesa,4,139,1,18.50
2864,Yasmin da Conceicao,10-10-1993,Angolana,2,30,3,16.00
